frame,group,session,user_speak_mean,user_speak_sd,user_turns_mean,user_turns_sd,user_add_mean,user_add_sd,user_del_mean,user_del_sd,AU01_grp_avg,AU01_grp_std,AU02_grp_avg,AU02_grp_std,AU04_grp_avg,AU04_grp_std,AU05_grp_avg,AU05_grp_std,AU06_grp_avg,AU06_grp_std,AU07_grp_avg,AU07_grp_std,AU09_grp_avg,AU09_grp_std,AU10_grp_avg,AU10_grp_std,AU11_grp_avg,AU11_grp_std,AU12_grp_avg,AU12_grp_std,AU14_grp_avg,AU14_grp_std,AU15_grp_avg,AU15_grp_std,AU17_grp_avg,AU17_grp_std,AU20_grp_avg,AU20_grp_std,AU23_grp_avg,AU23_grp_std,AU24_grp_avg,AU24_grp_std,AU25_grp_avg,AU25_grp_std,AU26_grp_avg,AU26_grp_std,AU28_grp_avg,AU28_grp_std,AU43_grp_avg,AU43_grp_std,head_rotate_x_mean_grp_avg,head_rotate_x_mean_grp_std,head_rotate_x_std_grp_avg,head_rotate_x_std_grp_std,head_rotate_y_mean_grp_avg,head_rotate_y_mean_grp_std,head_rotate_y_std_grp_avg,head_rotate_y_std_grp_std,head_rotate_z_mean_grp_avg,head_rotate_z_mean_grp_std,head_rotate_z_std_grp_avg,head_rotate_z_std_grp_std,mouth_area_mean_grp_avg,mouth_area_mean_grp_std,mouth_area_std_grp_avg,mouth_area_std_grp_std,CQ
1,87_1,87,3.960666666666667,1.095701398901889,2.333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,6.333333333333333,4.109609335312651,4.0,3.265986323710904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.242640687119285,7.333333333333333,5.734883511361751,0.0,0.0,0.0,0.0,29.666666666666668,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4627910052910051,5.886953958626714,4.8630953471710034,4.279730750995592,111.73849206349206,8.547014196026968,41.49589093551808,6.946878044864275,34.95712962962964,93.28163347818644,81.85182121061588,38.7816925748217,164.08392195767195,43.92654088263561,57.22893188600198,42.971426249313744,2.6666666666666665
2,87_1,87,2.578333333333333,1.2088811172135807,1.6666666666666667,0.4714045207910317,63.333333333333336,89.56685895029602,4.0,5.656854249492381,0.0,0.0,0.0,0.0,6.666666666666667,7.318166133366716,4.0,4.96655480858378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,1.0,0.816496580927726,9.333333333333334,6.79869268479038,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.42154761904762,9.70374511930904,9.27843035433784,8.6632443079618,76.46902116402116,22.99271562892616,73.94911587053123,18.365285535838662,21.17306878306879,85.36568114388461,78.81269657103012,20.32028442297431,166.25330026455026,54.78374284659792,81.64162388501707,47.70180849616583,5.666666666666667
3,87_1,87,5.400333333333332,3.2693926381244296,2.6666666666666665,1.247219128924647,12.333333333333334,17.441967269268172,0.3333333333333333,0.4714045207910317,4.666666666666667,4.109609335312651,0.0,0.0,2.0,2.8284271247461903,3.0,2.160246899469287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,3.091206165165235,5.666666666666667,4.189935029992179,0.0,0.0,0.0,0.0,27.666666666666668,3.299831645537222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.911785714285714,3.321937214439933,7.213575754039482,6.161394227129946,59.66201058201059,46.477687442928485,65.9236487204903,9.357668611191336,29.160992063492063,61.40571668219576,88.38874798855359,18.887171825605424,147.5440013227513,35.195218555360825,76.30416240376681,46.99586494355342,7.0
4,87_1,87,2.56,2.2228510221485083,1.3333333333333333,0.9428090415820634,5.0,7.071067811865476,1.0,1.4142135623730951,3.333333333333333,3.39934634239519,0.0,0.0,9.0,6.97614984548545,11.0,12.83225103661344,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.6666666666666666,0.9428090415820634,3.333333333333333,4.714045207910316,7.666666666666667,5.436502143433364,0.0,0.0,0.0,0.0,28.0,2.8284271247461903,0.6666666666666666,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,-0.3798148148148146,5.748249157904023,5.314594196808077,3.850570069574436,98.2412962962963,40.40689199946268,48.59156343606977,36.771224659253456,-20.43537037037037,70.72036858635848,92.41947120982576,12.070066733303316,223.8928703703704,19.430498168360103,86.26886184976725,71.87880434996501,5.666666666666667
5,87_1,87,3.168333333333333,2.2922900243109634,1.3333333333333333,0.4714045207910317,12.333333333333334,10.338708279513884,1.6666666666666667,1.699673171197595,0.0,0.0,0.0,0.0,12.0,9.092121131323903,8.333333333333334,11.08552609887726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,7.93025150224688,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.606428571428572,7.563972361871538,7.136002011215297,6.081457431897525,91.20957671957672,41.43856620837588,60.48088724278344,21.09019754410421,3.2773544973544944,70.40374427355654,88.84613045688354,9.06387527033571,213.07628306878303,36.3077079353567,66.37496743844548,39.97946495110426,14.0
6,87_1,87,4.741333333333333,1.2889999569002664,2.6666666666666665,0.4714045207910317,23.0,32.526911934581186,0.0,0.0,4.0,4.96655480858378,0.0,0.0,12.666666666666666,10.624918300339486,6.666666666666667,9.428090415820632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,10.370899457402697,13.0,11.51810169544733,0.0,0.0,0.0,0.0,27.0,4.242640687119285,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,-4.061534391534392,9.258277088951523,7.52092775398857,7.046855496792158,76.63232804232804,19.45378737652545,78.23988463398437,13.68616158635843,22.070158730158727,55.8227267044262,100.60803843571678,17.643523485290338,150.1104365079365,10.006985667700585,48.52002138653274,13.587684002519811,14.0
7,87_1,87,3.9653333333333336,3.169162069415546,1.3333333333333333,0.9428090415820634,8.666666666666666,12.256517540566824,0.3333333333333333,0.4714045207910317,1.0,0.816496580927726,0.0,0.0,10.0,6.377042156569663,2.6666666666666665,2.494438257849294,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.741657386773941,7.0,6.683312551921141,0.0,0.0,0.0,0.0,29.666666666666668,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.732288359788359,10.06453355788192,7.606543011575547,5.616929158134572,71.21076719576719,34.84138164198074,63.73634107942994,22.38717808317579,2.06345238095238,73.27069116654388,93.90205619476252,12.84479611595906,139.07642857142858,26.54289174705572,31.71933520099499,7.860377495392455,14.0
8,87_1,87,4.828,2.5681896347427307,1.3333333333333333,0.4714045207910317,16.666666666666668,5.436502143433364,0.6666666666666666,0.9428090415820634,3.333333333333333,4.714045207910316,0.0,0.0,9.333333333333334,6.018490028422597,0.6666666666666666,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,5.333333333333333,5.557777333511022,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.201693121693124,13.773925718175567,12.186631452644685,7.05559592903654,66.530291005291,7.528856362258004,65.85746736941582,5.771933956968481,-4.998981481481484,89.1937841712684,78.42692349038828,7.551101919770104,192.16321428571428,43.28695492824093,79.72150865340943,36.12702587711503,11.0
9,87_1,87,3.2390000000000003,2.9625712930943395,1.0,0.816496580927726,14.666666666666666,18.66071333637121,2.6666666666666665,3.091206165165235,6.0,8.48528137423857,0.0,0.0,14.0,9.626352718795768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,3.0,1.4142135623730951,8.333333333333334,5.436502143433364,0.0,0.0,0.0,0.0,28.666666666666668,1.8856180831641267,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.6666666666666666,0.9428090415820634,-9.067566137566136,10.787258468623502,15.974202014061088,8.664145915203335,61.93449735449736,47.401090935805286,75.05331832370898,21.52732213879177,19.4919708994709,35.110319048855885,104.08308963597943,17.478629052348687,237.07631613756607,139.07103677561517,97.3517510192524,74.49836739200282,11.0
10,87_1,87,5.597,0.4446489251833034,2.0,0.0,21.0,18.01850900231944,7.666666666666667,4.496912521077347,1.0,1.4142135623730951,0.0,0.0,11.666666666666666,10.96458946893235,1.3333333333333333,1.8856180831641267,1.6666666666666667,2.357022603955158,1.3333333333333333,1.8856180831641267,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.9428090415820634,0.0,0.0,2.0,2.8284271247461903,5.666666666666667,8.013876853447538,1.0,1.4142135623730951,11.333333333333334,8.055363982396381,0.0,0.0,0.0,0.0,28.33333333333333,2.3570226039551585,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,3.2998316455372216,-8.813703703703704,13.263240378432291,15.183590192795466,7.290461647818695,52.29796296296297,56.115769792547184,82.52212550210866,31.094596361453505,-16.088333333333328,93.08965279453678,86.58376636097829,23.615502283836708,222.8769444444445,128.96250532891284,106.95094207814718,125.1306106631762,13.0
